id,hoard_id,cross_reference
721,"ch10,232","ch9,411"
722,"ch10,233","ch9,41"
723,"ch10,240",igch1215
724,"ch10,240","ch9,423"
725,"ch10,241","ch9,421"
726,"ch10,248","ch1,78"
727,"ch10,248","ch2,49"
728,"ch10,248","ch3,22"
729,"ch10,248","ch7,188"
730,"ch10,257",igch1497
731,"ch10,259",igch1470
732,"ch10,266",igch1794
733,"ch10,268","ch9,497"
734,"ch10,269","ch7,80"
735,"ch10,269","ch8,308"
736,"ch10,271","ch7,61"
737,"ch10,276",igch1311
738,"ch10,280",igch1308
739,"ch10,282",igch1344
740,"ch10,289","ch2,81"
741,"ch10,290",igch1341
742,"ch10,291",igch1342
743,"ch10,291","ch2,84"
744,"ch10,294","ch5,2"
745,"ch10,294","ch6,34"
746,"ch10,300","ch9,525"
747,"ch10,305",igch1335
748,"ch10,305","ch9,515"
749,"ch10,308","ch9,527"
750,"ch10,309",igch1596
751,"ch10,310","ch1,87"
752,"ch10,310","ch2,90"
753,"ch10,317","ch8,49"
754,"ch10,322","ch8,471"
755,"ch10,323",igch1786
756,"ch10,324",igch1357
757,"ch10,327",igch1435
758,"ch10,328","ch9,523"
759,"ch10,331",igch1419
760,"ch10,348",igch1583
761,"ch10,351","ch9,578"
762,"ch10,352","ch9,577"
763,"ch10,353","ch9,576"
764,"ch10,355","ch3,79"
765,"ch10,359",igch1786
766,"ch10,360",igch1465
767,"ch10,363",igch1875
768,"ch10,364",igch1876
769,"ch10,365",igch1874
770,"ch10,366",igch1883
771,"ch10,367",igch2352
772,"ch10,368",igch1892
773,"ch10,369",igch1893
774,"ch10,370",igch2084
775,"ch10,371",igch1897
776,"ch10,372",igch1898
777,"ch10,372","ch9,601"
778,"ch10,375",igch1902
779,"ch10,375","ch9,609"
780,"ch10,378","ch8,584"
781,"ch10,379",igch1904
782,"ch10,379","ch1,19"
783,"ch10,379","ch9,611"
784,"ch10,383",igch2117
785,"ch10,388",igch1911
786,"ch10,389",igch1910
787,"ch10,390",igch1914
788,"ch10,391",igch1899
789,"ch10,392",igch1919
790,"ch10,395","ch1,39"
791,"ch10,398",igch1925
792,"ch10,399","ch4,18"
793,"ch10,401",igch1937
794,"ch10,402","ch4,18"
795,"ch10,404","ch4,18"
796,"ch10,405","ch4,18"
797,"ch10,406",igch1944
798,"ch10,410",igch2185
799,"ch10,414",igch1972
800,"ch10,420",igch1990
801,"ch10,421",igch2213
802,"ch10,422","ch9,653"
803,"ch10,423",igch2017
804,"ch10,429",igch2013
805,"ch10,431",igch1907
806,"ch10,433",igch2252
807,"ch10,433","ch8,541"
808,"ch10,435",igch1644
809,"ch10,435","ch2,17"
810,"ch10,435","ch4,11"
811,"ch10,435","ch8,44"
812,"ch10,436",igch1645
813,"ch10,441",igch1649
814,"ch10,443",igch1663
815,"ch10,446",igch1664
816,"ch10,446","ch2,56"
817,"ch10,446","ch7,49"
818,"ch10,449","ch6,30"
819,"ch10,455","ch8,413"
820,"ch10,466",igch2325
821,"ch10,467",igch2333
822,"ch10,467","ch9,719"
823,"ch10,470","ch8,375"
824,"ch10,470","ch8,411"
825,"nc175,11,46",igch2022
